اسم الفيلم,تاريخ العرض,تصنيف الفيلم,مدة الفيلم (دقيقة),ملخص,تمثيل,تأليف,إنتاج,تصوير,مونتاج,ديكور,ملابس,موسيقى,إخراج,توزيع
ميعاد مع سوسو,1977,nan,-,سعاد فتاه جميل عمل ملهي ليلي قابل صدفه مصعد ممثل كبير نموذج وجه سينماءي جديد ٱرتبط قصه حب هشام معيد جامعه اخبر صحيفه مرور ضروري خبر حقيقه عمل تفكير مستقبل قصه حب توافق عمل سينما,"نور الشريف,هويدا,أحمد مظهر,ميمي جمال,محمود الجندي,إسعاد يونس,سامي فهمي,نادية أرسلان,فاروق يوسف,أحمد نبيل,محمد الشويحي,محسن سرحان,توفيق الدقن,محمد الرملي","أحمد صالح,حسن الإمام",ماجد فيلم,nan,nan,nan,nan,nan,"أشرف فهمي,عبدالعزيز جاد","أفلام البلجون (المؤسسة السعودية للسينما),هيمن فيلم"
ليل ورغبة,1977,nan,1010,اب قاسي حسين تورع فرق معامله اخان شقيق سري حرم تعليم عمل ورشه اعطي اخ شوقي شيء اكمل تعليم ضغط اب شوقي ضروره زواج ليلي احب سري امل زواج سري حاز هٰذا فرق خاص زواج ليلي شوقي عرف سري راقص ملهي ليلي حجز مصنع اب اصاب ازمه قلب توفي لاحظ شوقي علاقه زال ربط سري زوجه ليلي ضحيه رغبه والد سري ٱقتراض مبلغ مال رفع حجز مصنع بدا اخوه تشغيل مصنع رفض ليلي شوقي عيد سري حفاظ فرق مضحيه حب ايسر,"حسين فهمي,ميرفت أمين,حسين الشربيني,صلاح منصور,نجوى فؤاد,أحمد الجزيري,جمال إسماعيل,هياتم,فريدة سيف النصر,منى السعيد,إجلال زكي,صالح الإسكندراني,حسن مصطفى علي,محمد أبو حشيش,عبدالعظيم شعلان,أميرة فؤاد",سمير نوار,"أفلام محمد يونس,خليل دياب","فيكتور أنطون,عمرو الدويني,حسن أحمد حسن","عبدالعزيز فخري,محمد الطباخ,ليلى فهمي","معامل مدينة السينما (مدينة السينما),عباس صابر,ستوديو الأهرام (ستوديوهات الأهرام)","بهجه الحلبى,نظيرة كامل",nan,"يحيى العلمي,محمود السيسي,محمد مفتاح","أفلام إيهاب الليثي,المصرية اللبنانية للتجارة والسينما"
ابنتي والذئب,1977,nan,105,عاني زهور امر حياه والد متزمت تورع اطاحه وقت جانب اخر مصطفي احب زهور صمت رعي حنو بالغ بعيد بعيد ارسل اب زهور عم مريض بعيد سطوه والد عزبه عم تقدم يوسف ود نال افلح ٱعتداء باح زهور سر مراقبه وضع عزبه ٱكتشف مصطفي عمل عزبه عم تقدم خطبه لٰكن رفض صمت امر يوسف ٱنتاب احساس ٱستطاع نال شاء لذيذ حاول ٱعتداء مره حال ٱستغاث عم وصل عمل عزبه ٱعترف زهور حدث قاهره ثاءره اب اصاب شلل مصطفي رحل تمسك,"شمس البارودي,حسن يوسف,نور الشريف,محمود المليجي,عبدالمنعم إبراهيم,محمد توفيق,نعيمة وصفي,صفية العمري,أميرة,محمود عبدالعزيز,عبدالغني النجدي,علي مصطفى,خديجة محمود,هالة الصافي,نادية فؤاد,أنور العسكرى","عبدالرحيم أبو عوف,صبري عزت,محمود أبو زيد","المتحدة للسينما (صبحي فرحات),صبحي فرحات,صلاح خطاب","كمال كريم,محمد شاكر","صلاح عبدالرازق,عادل شكري,عنايات السايس","ماهر عبدالنور,ماجد السعيد,نجيب خوري,مصطفى عبدالله",أسماء حسين,فؤاد الظاهري,"سيد طنطاوي,صالح فوزي,منى الصاوي",المتحدة للسينما (صبحي فرحات)
الأزواج الشياطين,1977,nan,-,ممدوح كامل فتح صديق عمل شركه واحدهكامل فتح متزوج ممدوح اعزب ٱستاجر ملذه زار كامل فتح هرب زوجاتهمتسرق نعيمه مصوغ مخدوم طارد تركب نعيمه سياره ممدوح هرب اخذ ممدوح نعيمه عامه ممنيا قضاء وقت ممتع معهاويحضر صديق كامل فتح حاول مشاركه المتعهلكن بوليس حضر قبض الجميعبعد اخفي نعيمه مسروق نبه موجود عامه ٱحتجز نعيمه افرج شاب زار ممدوح صديق كامل منزل شاهد ماجده اخت زوجه تزوج خرج نعيمه سجن طارد زوج حتي وصل عامه ٱسترد مسروق زوجه وصل بوليس قبض نعيمه المسروقاتبينما افرج زوج طارد زوجه,"ناهد شريف,عادل إمام,مديحة كامل,ليلى طاهر,سعيد صالح,يوسف فخر الدين,حياة قنديل,توفيق الدقن,سيد زيان,إبراهيم سعفان,وداد حمدي,أحمد نبيل,محمد حمدي,سمير ولي الدين,أنور مدكور,بثينة نصار,فيفي يوسف,عبدالحميد أنيس,نبوية سعيد,صالح الإسكندراني,إبراهيم قدري,مختار السيد",أحمد عبدالوهاب,"محمود صلاح الدين,منيب الشافعي,مخلص شافعى (المحامي),عاطف رزق,الأفلام المتحدة (أنور وجدي وشركاه)",علي خير الله,"عبدالعزيز فخري,محمد الطباخ,وداد راغب",nan,nan,nan,"أحمد فؤاد,نجيب إسكندر,أحمد السبعاوي",شركة الأفلام المتحدة (م. شافعي وشركاه)
هكذا الأيام,1977,nan,140,تهنءه اخت اصغر اخ صرف تعليم حتي وصل مرحله جامعي فقير عرف فتاه سيءه سمع حاول تجاري سهر ساعه طويل متاخر ليل حاول اخ اصغر قتل هرب منزل ثني هرب ٱلتقي رجل غريب معرفه صديق سابق دعا الدرديري توافق زواج عرف حتي عاش كنف خدم اخرج حسن بحث اخت دار هاءما وجه بلد بلد حتي عثر رحله بحث عرف حقيقه الدرديري تزوج صرف سوي قتل دخل سجن قتل خطا قضي عقوبه خرج سجن مصمم قتل اخت تحول حطام عثر دمن مخدر لفظ روح يد اخ,"فريد شوقي,نورا,صلاح السعدني,علي الشريف,نعيمة وصفي,صلاح نظمي,فريدة سيف النصر,سعاد حسين,نعيمة الصغير,نبيل بدر,ليلى فهمي,يوسف العسال,صبري عبدالعزيز,مصطفى فهمي,إحسان شريف,مطاوع عويس,نوال فهمي,سامية محسن,ليلى مختار","عاطف سالم,فريد شوقي",نيوستار فيلم (م. ن. فريد شوقى وشركاهم),"عبدالحميد عمر,إبراهيم صالح","فكري رستم,عادل شكري","معامل هيئة السينما,هيئة السينما (والمسرح والموسيقى),الهيئة المصرية العامة للسينما (والمسرح والموسيقي)",nan,عمر خورشيد,"عاطف سالم,عبدالعزيز جاد",nan
فتاة تبحث عن الحب,1977,nan,95,منطقه صحراوي احيي اداره مطعم صغير عامل منجم ساعد ٱبنه سوي ام عشيق ام معلم سعدون نزل بلد شاب قادم عاصمه عمل مراقب منجم شاب مجدي كشف بلد ظلم واقع رد خاص نجوان بدا مجدي عمل منجم عرف سعدون ضليع عمل كثير منجم ٱستفاد مباشره حاول سعدون رشوه حتي كشف تزوير رفض شده سعدون رجل محاوله قتل مجدي نجا محاوله ٱكتشف مجدي منجم ايل سقوط لذيذ خطر بوليس منجم هدم القي سعدون حتف حاول فرار عرف احيي حدث مقتل سعدون ظن قاتل مجدي لذيذ حاول قتل رصاص ٱستقر ٱبنه احب مجدي,"نور الشريف,يسرا,شويكار,عماد حمدي,جميل راتب,بدر نوفل,علي الشريف,فاروق نجيب,حلمي عبدالوهاب,لمياء علوي,عمران بحر,محمد أبو حشيش,محمود القلعاوي,حسين عرعر",محمد أبو يوسف,"حلمي رفلة,نادية فيلم,شريف حمودة,زكريا إبراهيم,مصطفى جبر","رمزي إبراهيم,إسماعيل جمال,عبده عبدالخالق,جميل عبدالرحمن","فتحي داود,وداد راغب,عنايات السايس",ماهر عبدالنور,nan,"جمال سلامة,حلمي بكر,فتحي قورة","نادر جلال,شريف حمودة,أمالي بهنسي","أنور الشيخ ياسين,هيمن فيلم"
الأبطال يولدون مرتين,1977,nan,110,بلغ فءاد بري سن ام اب حرب قضي حياه تالي سقف رجل عجوز طيب مخيم اللاجءين فلسطيني قرب غزه صدم طفل مشهد هجمه قوه الاسراءيليه مخيم مداهمه ٱضطهاد نسف بيت قرر ٱنضمام قوه عربي قاوم ٱحتلال ٱصطدم رجل عدو عبر مطارد ملاحقه فاز طفل هروب اخفي ٱكتسب قوه صلابه رصد سياره دور عسكري معادي القي قنبله مولوتوف بطل حقيقي سينما سوري,"عماد حمدي,منى واصف,صباح الجزائري,يعقوب أبو غزالة,عصام عبه جي,فراس دهني,تيسير إدريس,حسين أبو حمد,زهير حسن,زيناتي قدسية,عبدالرحمن أبو القاسم,نصوح السادات,توفيق مراد,شريف السيد,عبدالقادر الفحل,نصر شما,ابراهيم كردية,بهاء سمعان,قمر مرتضى,سامية الجزائري,شارلوت رشدي,محمد طرقجي,أحمد أيوب,رضوان الساطى,شفيق المنفلوطي,عبدالله عباسي,نبيل شاويش","صلاح دهنى,علي زين العابدين",المؤسسة العامة للسينما (دمشق),جورج  لطفي الخوري,هيثم قوتلي,nan,nan,نورى الرحبانى,صلاح دهنى,nan
الوليد والعذراء,1977,nan,-,ملخص,"زيزي البدراوي,رشوان توفيق,إبراهيم سعفان,عبدالله غيث,سهير البابلي",nan,nan,nan,nan,nan,nan,nan,حسن حافظ,nan
اللوحة,1977,nan,-,ملخص,"جاسم العبودي,سامي قفطان ,قائد النعماني,غازي التكريتي,سليمة خضير,جلال كامل,صادق علي شاهين,طه سالم,وجدي العاني,نزار السامرائي,عز الدين طابو",nan,nan,nan,nan,nan,nan,nan,كارلو هارتيون,nan
كان وكان وكان,1977,nan,96,راضي ابو ريش فنان موهوب مغلوب امر ٱهتم مظهر ٱهتمام ثقافه قدم لوحه كثير باع فشل مره صدي لوحه بيع رسم معارض بسيط عاش جهه اخري ٱنتشر لاقي نجاح كبير ٱسم مشهور راضي ٱرتبط شاب جميل ٱسم عزيز وسط معاناه حدد موعد زواج احب جوله ري طالب غرق خلع ملبس حاول انقاذ ٱبتعد الشاطء ظن راضي ابو ريش غرق صياد انقاذ فجاه مجد صحيفه عبقري راضي وقع صحيفه صدفه يد راضي ٱكتشف مدي زيف افق رفض مجتمع ساد منافق اعجب حياه صياد بسيط قرر بقاء رغم صديق ٱشتغل بيع لوحه ثمن مرتفع جمهور حجه فنان راحل موهوب,"فؤاد المهندس,ناهد شريف,نجوى فؤاد,حسن مصطفى,سمير غانم,هند أبو السعود,إبراهيم سعفان,ليلى فهمي,سيف الله مختار,بثينة نصار,نادية زغلول,محمد يوسف,تغريد عبدالحميد (تغريد علي),أسامة عباس,حافظ أمين,رأفت فهيم,نبيل حرك,لوسي,جليلة محمود,محمود الزهيري,خديجة محمود,نورا,محمود كامل,محمد رفعت,رياض المغربل,سليمان حسين,مدحت جمال,بليغ حبشي,علي مصطفى","عباس كامل,أحمد حرك","أفلام الأهرام الحديثة (أ. حَرَك),محمد بدر شمس","كمال كريم,صلاح كريم,مكرم سالم","فتحي داود,وداد راغب,فتحي إبراهيم","مجدي ناشد,أحمد الليثي,عباس عبدالرحمن",nan,"مجدي الحسيني,حلمي بكر,هاني مهنى,فؤاد المهندس,فتحي قورة","عباس كامل,حسن إبراهيم,نادية علام,عبدالعزيز جاد",المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى)
وداعًا للأمس,1977,nan,100,رجل احب قوه امر نبيل تبادل حب ٱستطاع مكاشفتها عاجز ضعف وسط مجتمع عرف رحم مليء مبادل امن جدار قدم سمير ٱنتحار شهر عسل عجز وظيفي زوج نتيجه حادث سير وقع ارمله شابه حنان حب صديق كمال علاقه ٱجتاز ظرف صعب,"عمر خورشيد,إغراء,أسامة خلقي,غادة بشور,هالة حسني,نبيلة كرم",محمد شاهين,الغانم للسينما (والتلفزيون),جورج  لطفي الخوري,هيثم قوتلي,nan,nan,منوعات,محمد شاهين,الغانم للسينما (والتلفزيون)
التلاقي,1977,nan,104,شب حديث خرج ٱستطاع تكيف مجتمع شعر ٱغتراب كمال عالم شاب اقلمه امكانيه قليل عمل بحث افاد وطن مصطفي شاب مهموم قضيه وطن ٱصطدم راي رءيس تحرير جريده عمل صحفيانبيل توالي مظهر فساد ٱختلاس مستشفي عمل ٱستطاع فعل شيء شعر الياس قرر هجره,"محمود مرسي,سهير المرشدي,حبيبة (جلاديس),مديحة كامل,عمر خورشيد,ثريا عبدالوهاب,حمزة الشيمي,حلمي هلالي,أحمد خليل,سميرة محسن,سعيدة جلال,سهير توفيق,محمد شوقي,طاهر حمروش,محمود أبو زيد,راوية سعيد,إجلال زكي,راوية كامل,وسيلة حسين,عيسى الرحالة,عبدالوهاب الشرقاوي,سميحة محمد,جميل مسعد,عثمان الحمامصي,شوقي يونس,حسين الإمام",صبحي شفيق,"عبدالمجيد أبو زيد,المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى),عبده أمين","محمد برهام,رمسيس مرزوق,إسماعيل جمال","عادل منير,تماضر نجيب,عزت فهمى,ليلى فهمي","نهاد بهجت,جمال مرسي",صفية عبدالحميد,جهاد داود,"صبحي شفيق,محمد حسونه",المؤسسة المصرية العامة للسينما والتلفزيون (والمسرح والموسيقى)
نساء في المدينة,1977,nan,110,ٱحترق مخزن شركه اخفاء سرقه كبير موظف يوسف حيره حدث زميل عمل داليا مشكله تحذير شريف مدبر لجراءم عشيق شريف تدبير قضيه يوسف ٱبتعد واجه يوسف موقف شجاعه قدم ٱستقاله صحيفه هير عمل تحقيق الجراءم عرف يوسف حاول خارج مد ورق لازم تحقيق صحيفه ولد مشعر حب ارشد سكرتير مدير تصور مفتاح ٱختلاس عرف هير اقنع هير يوسف ضروره قرب داليا حب لهب يوسف مشعر داليا موده بدا داليا تعاطف يوسف ٱكتشف مدي خطا وقع حاول ساعد يوسف اثبات براءه اخبر يوسف هير تفصيل ٱختلاس ميعاد محدد تسليم مستندات بوليس تدخل حاول شريف هرب اطلق رصاص يوسف اصاب داليا رصاص قاتل,"حسين فهمي,ميرفت أمين,مديحة كامل,محمود المليجي,نجوى فؤاد,محمد الدفراوي,لويس يوسف,عبدالمنعم النمر,فؤاد خليل,محمود كامل,علي جوهر,سمير ولي الدين,ليلى يسري,أديب الطرابلسي,نجوى صالح",حسين حلمي المهندس,"نادية فيلم,مصطفى جبر,حلمي رفلة,محمود فتحى ابراهيم,أنور الشيخ ياسين","رمزي إبراهيم,جميل عبدالرحمن","فتحي داود,وداد راغب,عنايات السايس","ماهر عبدالنور,نجيب خوري,ستوديو نصيبيان",nan,هاني مهنى,"حلمي رفلة,شريف حمودة,محمود فتحى ابراهيم","هيمن فيلم,أنور الشيخ ياسين"
الدموع في عيون ضاحكة,1977,nan,95,عرف خيرت رشدي اباظه دكتور ٱجتماع راقص نونو نيللي باح حب طلب عمل اقام اجراء تجربه طبيعه انسان شيء ٱكتشف نونو خديع خيرت جري تجربه بار شعر خيرت حب ٱتفق زواج,"رشدي أباظة,نيللي,محمد خيري,مريم فخر الدين,حسن مصطفى,يوسف فخر الدين,نادية زغلول,إنعام سالوسة,سيف الله مختار,فاروق يوسف,عواطف رمضان,سيد إبراهيم,سميحة محمد,إبراهيم قدري,عزت الأمير,لويس يوسف,حسن مصطفى علي,نبوية سعيد","صالح جودت,عزت الأمير","أفلام النيل (جبرائيل تلحمى),أدوارد نجيب,غطاس قلتة,رفعت فؤاد جرجس,السعيد صادق",محمود سابو,"عاطف صبرى,عادل شكري","فهيم حماد,نجيب خوري",nan,"ميشيل المصري,حسيب غباشي,محمد الموجي,نيللي,محرم فؤاد","أحمد ضياء الدين,حسين فتحي",الهيئة العامة للسينما
عشاق على الطريق,1977,nan,92,قصه مشهور وعي بريد دق باب مره هرب مغامر خطر محدق ويختبيء الموتيلات صغير طريق سفر الموتيل ملك رجل عجوز خيل تزوج امر شابه جميل نما علاقه جسد مغامر زوجه ٱتفق قتل زوج عود ٱبن زوج عجوز قضاء اجازه الموتيل تغيير خط تمام,"حبيبة (جلاديس),رفيق السبيعي,أديب قدورة,لينا باتع,سليم كلاس,صالح الحايك,ناجي جبر,أحمد أيوب,هاني السعدي,محمد طاهر,لوتس عبدالحميد,هالة حسني,سمير المصرى,عدنان بركات,عدنان دعبول",فيصل الياسري,"مروان زركى,أحمد فرهود","جورج  لطفي الخوري,إبراهيم شامات,نبيل زبيدي,بسام زبيدي,هشام الحلاق,بسام سلعوس",هيثم قوتلي,بشير بكر,nan,منير بشير,"فيصل الياسري,بانه الباتع,محمد الشليان",بهجت خورى
رجلان وامرأة,1978,nan,90,ملخص,nan,سيف الدين شوكت,nan,جورج  لطفي الخوري,مروان عكاوي,nan,nan,nan,سيف الدين شوكت,nan
سوزي بائعة الورد,1978,nan,-,ملخص,هناء ثروت,nan,nan,nan,nan,nan,nan,nan,nan,nan
فردة ولقات أختها,1978,nan,-,ملخص,"الأمين النهدي,أحمد العربي السوري,محمد بن علي,مختار حشيشة,توفيق البحري",علي منصور,الساتباك,أحمد زعاف,فوزية جولاق,nan,nan,nan,علي منصور,nan
القنفودي,1978,nan,-,ملخص,"محمد الرزين,نبيل الحلو,محمد مفتاح",nan,nan,nan,nan,nan,nan,nan,nan,nan
قاهر الظلام,1978,nan,130,فتي فقير صعيد مصر مولود محافظ منيا حرم فقر جهل نور بصر طٰه حسين طفل صغير نتيجه جهل تفشي مجتمع تجاوز محنه بصر مفقود ٱستعاض سمع واصل قفز نجاح كتاب حتي دخول ازهر قدر ٱجتياز دراسه ازهر صاحب مشكله حتي ترشيح دراسه ادب مدينه مونبلييه فرنسي بعثه حكومي سافر وخي رعي مصاعب تغلب ظرف معاكس تعارف رفيق عمر فرنسي سوزان ربط صداقه ساعد قراءه دراسه تحضير درجه دكتور نما قصه حب تزوج حصل شهاده قاهره طٰه حسين استاذ جامعه عميد معركه حتي وزير معرفه عاش معركه فكري حكومه اتاح مجاني تعليم فءات شعب ماء هواء,"محمود ياسين,يولاند فوليو,حمدي أحمد,يحيى الفخراني,حسن مصطفى,حسين الشربيني,عبدالعليم خطاب,زوزو حمدي الحكيم,وفيق فهمي,عبدالغني النجدي,فخري عازر,أديب الطرابلسي,أحمد شوقي,رشوان مصطفى,نعيم عيسى,عدوي غيث,محمود رشاد,سيد مدبولى,فاروق يوسف,عبدالمنعم النمر,أحمد عمار,محمد الشويحي,سلامة إلياس,نادر نور الدين,توفيق الكردي","كمال الملاخ,رفيق الصبان,سمير عبدالعظيم,صبري موسى,إبراهيم الورداني,يوسف جوهر,نجيب محفوظ,توفيق الحكيم","فؤاد جمجوم,سعد شنب,صلاح خطاب","إبراهيم صالح,عبدالحميد عمر","حسين عفيفي,وديع شفيق,ناهد مكاوي",حسين الشريف (حسين شريف),فوزية حجازي,"فؤاد الظاهري,سيد مكاوي","عاطف سالم,أحمد السبعاوي",الهيئة المصرية العامة للسينما (والمسرح والموسيقي)
وادي الذكريات,1978,nan,100,تزوج راف سعاد رغم معارضه عاءلته فارق ٱجتماع سافر سوريا عاش سعاد مات راف مرض خطير عمل سعاد حتي وفر مال تربيه ٱبنه سحر ربط حب جار وليد ٱتفق زواج اصاب سعاد مرض اخفي ٱبنه سافر قاهره عاش عم ثري دولت قرر طبيب معالج سعاد اجراء عمليه جرح دولت طلب سحر زواج شاب ثري ادهم حتي وفر مال لازم علاج ام اخبر مرض توافق سحر فهم وليد ظرف ام ثار تندم دوله تقدم سعاد مال لازم سحر وليد,"شادية,ليلى فوزي,محمود عبدالعزيز,حياة قنديل,محمود قابيل,عماد حمدي,هاني الروماني,فكري أباظة,قدرية قدري,محمود كامل,ظفيرة قطان,أنور مدكور,نهاد المرادي,نيهال صالحية,عبدالمنعم النمر,عبدالرحمن حامد,شارلوت رشدي","ميشيل صوايا,يوسف السباعي,رفيق الصبان","أفلام مراد رمسيس نجيب,محسن علم الدين,رفعت المصري,أنور رمسيس نجيب,مراد رمسيس نجيب","عبدالمنعم بهنسي,محمد خليل,غنيم بهنسي,سركيس خوري","نادية شكري,محمد هاشم,كمال فهمي",نهاد بهجت,nan,"عمر خورشيد,محمد عبدالوهاب,حسين السيد","هنري بركات,حسن إبراهيم,إيناس الدغيدي",أفلام مراد رمسيس نجيب
النهر,1978,nan,110,عالم صياد تعرض جشع ٱستغلال مدعو ٱستغل صياد اخذ شيء جني ربح صياد نال شيءا تصدي محمود قاءد النعماني رافض ٱستغلال ٱختفي ظرف غامض توقف نضال اظهر شاب اخر دعا صالح ٱستكمل مسيره بدا محمود سينما عراقي,"حاتم سلمان,حقي الشبلي,كريم عواد,سامي قفطان ,هناء محمد,قائد النعماني,سوسن شكري,مكي عواد,أسعد عبدالرزاق,فيصل الياسري,صادق علي شاهين,سلام زهرة ","محمد شاكر السبع,زهير الدجيلي,فيصل الياسري",دائرة السينما والمسرح,"نهاد علي,عدنان الإمام",صاحب حداد,nan,nan,فائق حنا,فيصل الياسري,nan
الطريق الي القدس,1978,nan,-,ملخص,محمود حافظ,nan,nan,nan,nan,nan,nan,nan,nan,nan
الباحثون,1978,nan,-,دار حدث فيلم منطقه حوز جنوبي مجموع باحث بحث نفط ٱستعرض وضع منطقه مركز شخص باحث ٱختلف طبيعه تركيبه شخص اخري بحث لغز حفيظ اسطوره هور معروف اخر بحث شخص اثار لٰكن نهايه ٱلتقي هدف بحث نفط منطقه,"كنعان وصفي,خليل الرفاعي,نزار السامرائي,طالب الفراتي,سعدي يونس,سعدية الزيدي,غازي الكناني,محسن العزاوي,كامل القيسي,عيسى البيرم,ياس علي الناصر ",صباح عطوان,nan,عبداللطيف صالح,nan,nan,nan,عبدالأمير صالح الصراف,محمد يوسف الجنابي,nan
ضحية غرامي,1978,nan,-,قصه دكتور مشهور خان زوجه راقص ديدي حتي صارح صديق محامي مشكله نصح راقص اخلاص زوجه قرر دكتور راقص لٰكن رفض هدد زوجه تسلم رساءل حب فعل راقص بيت دكتور صارح زوجه علاقه طلب زوجه طلاق منزل زوج عود شرب سم بيت راقص شعر مات زوجه منزل ٱتهم زوجه قتل زميل محامي سعي ٱكتشاف حقيقه حتي وصل راقص ديدي قاتل حاول انقاذ زوجه,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
امرأة قتلها الحب,1978,nan,-,طمع معلم ابو المعاطي نوس ذٰلك نجح ايقاع مدح تزوج مدح شقيق ابو المعاطي تحقيق مشروع امكانيه بسيط حاءلا تحقيق تزوج نوس ابو المعاطي نهر عشيق ام قتل والد طلب طلاق هدد تبليغ ام ٱعترف ام جريمه انقذ ٱبنه اطلق مدح زوجه ضاق حياه نوس فشل ابو المعاطي قتل,"فريد شوقي,مديحة كامل,مصطفى فهمي,سناء جميل,توفيق الدقن,عايدة عبدالعزيز,محمد العربي,محمد سليمان,محمد الرملي,أديب الطرابلسي,توفيق الكردي",عبدالحي أديب,"مديحة كامل,سيد إسماعيل,شعبان عباس","عبدالمنعم بهنسي,غنيم بهنسي,حسن احمد","سعيد الشيخ,مارسيل صالح,سلوى بكير","ماهر عبدالنور,ستوديو الأهرام (ستوديوهات الأهرام),نجيب خوري,ستوديوهات النيل,هيئة السينما (والمسرح والموسيقى),الهيئة المصرية العامة للسينما (والمسرح والموسيقي)",nan,"عمر خورشيد,عبدالوهاب محمد,بليغ حمدي","أشرف فهمي,أحمد ياسين",أفلام مصر الجديدة
زمن الحب و الغدر,1978,nan,-,ملخص,nan,حسن محسب,nan,nan,nan,nan,nan,nan,nan,nan
شقة وعروسة يارب,1978,nan,95,عرف يوسف عادل رحله بحث شقه اقر الٱثنان اعلان اقر يوسف اعلان طلب نسي سكن غرفه شقه اقام مدرسه كاميليا يوسف امل اقناع سكن نسي رفض اقام وصل صاحب عماره ثني تواجد يوسف داخل شقه كاميليا تخيل ٱستخدام شريف شقه يوسف عم كاميليا جاء زياره رحب صاحب عقار يوسف عرف مشكله عادل ٱستدعي اقام حجر عمل ٱكتشف كاميليا خطيب شوقي تاجر مخدر نقل مخدر اخفي داخل شق دب خلاف ابلاغ شرطه مخدر القي قبض كاميليا انكر معرفه هٰذا شيء طاب شهاده خطيب شوقي انكر قرر يوسف عادل وقوف جوار كشف بوليس مجرم حقيقي افراج كاميليا فرح يوسف زواج كاميليا مهندس عادل ثبت براءه,"فريد شوقي,نورا,سمير صبري,يوسف فخر الدين,هياتم,نجوى صالح,مظهر أبو النجا,حسن مصطفى,سيف الله مختار,محمد صبيح,نادية أنور,إبراهيم قدري,محمد أبو حشيش,يحيى كامل,الطوخي توفيق,محمد هيكل,أنور عبدالملك,إسماعيل عبدالعزيز,كتكوت الأمير,سمير ولي الدين",فيصل ندا,افلام زكى صالح,"محمد زغلول,علي خير الله","فكري رستم,وداد راغب,صلاح عبدالرازق","ستوديو الأهرام (ستوديوهات الأهرام),فهيم حماد,فاروق خورشيد,عزت حنفي",nan,"حسين الإمام,مودي اﻹمام,كتكوت الأمير","زكي صالح,سمير حافظ","شركة شافعى لتوزيع الافلام,أفلام البلجون (المؤسسة السعودية للسينما)"
إحترس!!! نحن المجانين,1978,nan,100,هدي احب وحيد طالب سكن شقه عماره ٱمتلك ام عرف وحيد حسونه سلام اقام منزل زميل شوقي عرف راقص شجن ٱستغل سذاجه ٱستخدم عمليه تهريب مخدر عشيق حمزه وحيد حسونه سلام ملهي شوقي اعجب شجن وحيد تكرر شرطه مطارد حمزه وصل منزل شجن فاجا وجود وحيد رفض شجن هرب حمزه ٱشتبك حمزه وحيط ٱنطلق رصاص مسدس وحيد اصاب حمزه لحظه وصول شرطه هرب وحيد شجن نجح شرطه قبض اثبت تقرير طبي مصرع حمزه رصاص شرطه يلتءم شمل هدي حمدي,"ناهد شريف,مصطفى فهمي,صفاء أبو السعود,سعيد صالح,صلاح السعدني,يونس شلبي,محمد رضا,عقيلة راتب,سيف الله مختار,ماجدة حمادة,سمير ولي الدين,محمد حمدي,أميرة فؤاد,نصر سيف,عنايات صالح,ليلى مختار,جيجي رسلان,عز الدين شعبان,سامي واصف,الشحات سليمان,فيصل عزب","أنور عبدالملك,فيصل ندا","شعبان عباس,الشرق للإنتاج والتوزيع السينمائى,سيد إسماعيل","علي خير الله,عادل أسعد","فكري رستم,وداد راغب","محمود حسنين الشيخ,ستوديو الأهرام (ستوديوهات الأهرام)",nan,"فؤاد الظاهري,محمد الموجي,عبدالعزيز سلام","زكي صالح,عصمت عفيفي",الشرق للإنتاج والتوزيع السينمائى
عشاق,1978,رومانسي,90,ملخص,"أسامة خلقي,مديحة كامل,عباس النوري,نبيلة كرم,هاني الروماني,رفيق السبيعي,ظفيرة قطان,اسامة بغدادي,أحمد مللي,غادة الشمعة,طوني موسى,حمدي ديب,عدنان عجلوني,سعيد عبدالسلام",فارس يواكيم,nan,"حازم بياعة,نبيل زبيدي,كمال فخر الدين",كمال الاسمر,nan,nan,nan,"مروان عكاوي,زهير ديوب",سمير مسلم عنيني
لعبة الموت,1978,nan,-,ملخص,"دين جاجر,بروس لي,كيم تاي تشونج",nan,nan,nan,nan,nan,nan,nan,nan,nan
حب فوق البركان,1978,nan,-,حسين اخ شقيق احمد والي سرقه قاد احمد انفق راقص دوس والي برهن مجوهر ام جابر مربي اعطي حسين نقد احمد ٱسترداد مجوهر والي حسين قتل ام جابر سرقه حاول الاستنجاد احمد انقذ هرب احمد منزل مذعورا شاهد نعمه ٱعتقد قاتل ثني زال لامس سقط تفقد بصر شعر احمد ذنب تزوج,"فريد شوقي,نجلاء فتحي,حسين فهمي,فردوس عبدالحميد,لبلبة,حسين الإمام,زوزو حمدي الحكيم,سعيد صالح,محمد الدفراوي,عبدالغني النجدي,بدرية عبدالجواد,محمد شوقي,مختار السيد,أمير كدواني,شفيق جلال,عبدالوهاب خليل,مجدي إمام","زينب حسن الإمام,حسن الإمام,السيد بدير","عبدالمسيح,أفلام مصر العربية (واصف فايز),مجدي عبدالمسيح,هشام صبحى,واصف فايز",nan,فكري رستم,nan,nan,nan,حسن الإمام,"أفلام مصر العربية (واصف فايز),أنور الشيخ ياسين"
لعنة الزمان,1978,nan,-,ملخص,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
